LAD,REMAIN,LEAVE,PC,PC_0,PC_1
E06000001,30.43,69.57,TS22 5BF,TS22,5BF
E06000001,30.43,69.57,TS23 3TQ,TS23,3TQ
E06000001,30.43,69.57,TS24 0PA,TS24,0PA
E06000001,30.43,69.57,TS25 2RN,TS25,2RN
E06000001,30.43,69.57,TS26 0XW,TS26,0XW
E06000001,30.43,69.57,TS27 3PP,TS27,3PP
E06000002,34.52,65.48,TS1  1QT,TS1, 1QT
E06000002,34.52,65.48,TS17 7BU,TS17,7BU
E06000002,34.52,65.48,TS2  1UT,TS2, 1UT
E06000002,34.52,65.48,TS4  3LR,TS4, 3LR
E06000002,34.52,65.48,TS5  4GE,TS5, 4GE
E06000002,34.52,65.48,TS7  8PH,TS7, 8PH
E06000002,34.52,65.48,TS8  0RT,TS8, 0RT
E06000002,34.52,65.48,TS3  7HZ,TS3, 7HZ
E06000002,34.52,65.48,TS6  6PU,TS6, 6PU
E06000002,34.52,65.48,TS9  5WP,TS9, 5WP
E06000002,34.52,65.48,TS90 8JA,TS90,8JA
E06000003,33.81,66.19,TS10 1DD,TS10,1DD
E06000003,33.81,66.19,TS11 6YS,TS11,6YS
E06000003,33.81,66.19,TS12 1JS,TS12,1JS
E06000003,33.81,66.19,TS14 6QB,TS14,6QB
E06000003,33.81,66.19,TS13 5TU,TS13,5TU
E06000004,38.27,61.73,DL2  1TB,DL2, 1TB
E06000004,38.27,61.73,TS15 0AD,TS15,0AD
E06000004,38.27,61.73,TS18 1EE,TS18,1EE
E06000004,38.27,61.73,TS16 0NE,TS16,0NE
E06000004,38.27,61.73,TS19 7EG,TS19,7EG
E06000004,38.27,61.73,TS20 1AA,TS20,1AA
E06000004,38.27,61.73,TS21 2WX,TS21,2WX
E06000005,43.82,56.18,DL1  1ED,DL1, 1ED
E06000005,43.82,56.18,DL3  0QD,DL3, 0QD
E06000005,43.82,56.18,DL4  2QA,DL4, 2QA
E06000005,43.82,56.18,DL8  9AA,DL8, 9AA
E06000005,43.82,56.18,DL98 1AA,DL98,1AA
E06000005,43.82,56.18,DL5  6AN,DL5, 6AN
E06000006,42.58,57.42,L35  6PG,L35, 6PG
E06000006,42.58,57.42,L24  5SP,L24, 5SP
E06000006,42.58,57.42,WA4  4BU,WA4, 4BU
E06000006,42.58,57.42,WA7  6TA,WA7, 6TA
E06000006,42.58,57.42,WA8  0LS,WA8, 0LS
E06000006,42.58,57.42,WA88 1ZS,WA88,1ZS
E06000007,45.73,54.27,WA1  1UP,WA1, 1UP
E06000007,45.73,54.27,WA13 9AW,WA13,9AW
E06000007,45.73,54.27,WA12 9XU,WA12,9XU
E06000007,45.73,54.27,WA2  9RN,WA2, 9RN
E06000007,45.73,54.27,WA3  4AR,WA3, 4AR
E06000007,45.73,54.27,WA5  1AT,WA5, 1AT
E06000007,45.73,54.27,WA55 1BB,WA55,1BB
E06000007,45.73,54.27,WA9  2JZ,WA9, 2JZ
E06000008,43.66,56.34,BB1  1GA,BB1, 1GA
E06000008,43.66,56.34,BB0  1GR,BB0, 1GR
E06000008,43.66,56.34,BB2  4QF,BB2, 4QF
E06000008,43.66,56.34,BB3  0AA,BB3, 0AA
E06000008,43.66,56.34,BB6  7BZ,BB6, 7BZ
E06000008,43.66,56.34,BL7  0AT,BL7, 0AT
E06000008,43.66,56.34,BL8  4JT,BL8, 4JT
E06000008,43.66,56.34,PR1  1QA,PR1, 1QA
E06000008,43.66,56.34,PR6  8DS,PR6, 8DS
E06000009,32.54,67.46,FY1  2NP,FY1, 2NP
E06000009,32.54,67.46,FY2  0FJ,FY2, 0FJ
E06000009,32.54,67.46,FY3  7HP,FY3, 7HP
E06000009,32.54,67.46,FY4  1BH,FY4, 1BH
E06000009,32.54,67.46,FY5  1RU,FY5, 1RU
E06000009,32.54,67.46,FY6  7QN,FY6, 7QN
E06000009,32.54,67.46,FY8  3YG,FY8, 3YG
E06000010,32.38,67.62,HU1  1AA,HU1, 1AA
E06000010,32.38,67.62,HU11 4YZ,HU11,4YZ
E06000010,32.38,67.62,HU12 0YA,HU12,0YA
E06000010,32.38,67.62,HU8  7BA,HU8, 7BA
E06000010,32.38,67.62,HU9  1BA,HU9, 1BA
E06000010,32.38,67.62,HU6  7RZ,HU6, 7RZ
E06000010,32.38,67.62,HU7  3ES,HU7, 3ES
E06000010,32.38,67.62,HU5  2LD,HU5, 2LD
E06000010,32.38,67.62,HU3  2EZ,HU3, 2EZ
E06000010,32.38,67.62,HU2  0LU,HU2, 0LU
E06000010,32.38,67.62,HU4  6DR,HU4, 6DR
E06000010,32.38,67.62,HU13 9NN,HU13,9NN
E06000011,39.60,60.40,DN14 0AA,DN14,0AA
E06000011,39.60,60.40,DN8  4JZ,DN8, 4JZ
E06000011,39.60,60.40,HU10 6AA,HU10,6AA
E06000011,39.60,60.40,HU15 1NP,HU15,1NP
E06000011,39.60,60.40,HU14 9AQ,HU14,9AQ
E06000011,39.60,60.40,HU16 4DL,HU16,4DL
E06000011,39.60,60.40,HU17 7JR,HU17,7JR
E06000011,39.60,60.40,HU18 1PL,HU18,1PL
E06000011,39.60,60.40,HU19 2PB,HU19,2PB
E06000011,39.60,60.40,HU20 3XW,HU20,3XW
E06000011,39.60,60.40,YO11 3UL,YO11,3UL
E06000011,39.60,60.40,YO15 1HY,YO15,1HY
E06000011,39.60,60.40,YO16 4DN,YO16,4DN
E06000011,39.60,60.40,YO25 7LL,YO25,7LL
E06000011,39.60,60.40,YO4  1AQ,YO4, 1AQ
E06000011,39.60,60.40,YO41 1DA,YO41,1DA
E06000011,39.60,60.40,YO42 2NP,YO42,2NP
E06000011,39.60,60.40,YO43 3AP,YO43,3AP
E06000011,39.60,60.40,YO8  6EX,YO8, 6EX
E06000011,39.60,60.40,YO95 1BT,YO95,1BT
E06000012,30.13,69.87,DN31 3SX,DN31,3SX
E06000012,30.13,69.87,DN32 0AA,DN32,0AA
E06000012,30.13,69.87,DN33 1AA,DN33,1AA
E06000012,30.13,69.87,DN35 9PP,DN35,9PP
E06000012,30.13,69.87,DN36 4QQ,DN36,4QQ
E06000012,30.13,69.87,DN37 0AA,DN37,0AA
E06000012,30.13,69.87,DN39 6WB,DN39,6WB
E06000012,30.13,69.87,DN40 3QY,DN40,3QY
E06000012,30.13,69.87,DN41 7AF,DN41,7AF
E06000012,30.13,69.87,DN34 4HX,DN34,4HX
E06000012,30.13,69.87,LN3  6BP,LN3, 6BP
E06000012,30.13,69.87,LN8  6BP,LN8, 6BP
E06000013,33.70,66.30,DN15 0DB,DN15,0DB
E06000013,33.70,66.30,DN16 1HP,DN16,1HP
E06000013,33.70,66.30,DN17 1LN,DN17,1LN
E06000013,33.70,66.30,DN18 5AA,DN18,5AA
E06000013,33.70,66.30,DN19 7DF,DN19,7DF
E06000013,33.70,66.30,DN20 0PQ,DN20,0PQ
E06000013,33.70,66.30,DN21 4AS,DN21,4AS
E06000013,33.70,66.30,DN38 6AA,DN38,6AA
E06000013,33.70,66.30,DN9  1AA,DN9, 1AA
E06000013,33.70,66.30,DN1  9JW,DN1, 9JW
E06000013,33.70,66.30,DN10 4BE,DN10,4BE
E06000013,33.70,66.30,LN7  6JX,LN7, 6JX
E06000014,58.04,41.96,YO1  0EJ,YO1, 0EJ
E06000014,58.04,41.96,YO10 3ED,YO10,3ED
E06000014,58.04,41.96,YO19 5GS,YO19,5GS
E06000014,58.04,41.96,YO2  1AY,YO2, 1AY
E06000014,58.04,41.96,YO23 2RU,YO23,2RU
E06000014,58.04,41.96,YO24 1AU,YO24,1AU
E06000014,58.04,41.96,YO26 4TF,YO26,4TF
E06000014,58.04,41.96,YO3  3GX,YO3, 3GX
E06000014,58.04,41.96,YO30 1ZX,YO30,1ZX
E06000014,58.04,41.96,YO31 0NP,YO31,0NP
E06000014,58.04,41.96,YO32 2PR,YO32,2PR
E06000014,58.04,41.96,YO62 5YU,YO62,5YU
E06000014,58.04,41.96,YO61 1YU,YO61,1YU
E06000014,58.04,41.96,YO5  8JP,YO5, 8JP
E06000014,58.04,41.96,YO60 7YY,YO60,7YY
E06000014,58.04,41.96,YO6  7QY,YO6, 7QY
E06000014,58.04,41.96,YO90 1UT,YO90,1UT
E06000014,58.04,41.96,YO91 1RT,YO91,1RT
E06000014,58.04,41.96,YO51 9XL,YO51,9XL
E06000015,42.78,57.22,DE1  9YP,DE1, 9YP
E06000015,42.78,57.22,DE22 3PZ,DE22,3PZ
E06000015,42.78,57.22,DE23 1GX,DE23,1GX
E06000015,42.78,57.22,DE21 7JD,DE21,7JD
E06000015,42.78,57.22,DE2  2JB,DE2, 2JB
E06000015,42.78,57.22,DE24 0BA,DE24,0BA
E06000015,42.78,57.22,DE3  0QF,DE3, 0QF
E06000015,42.78,57.22,DE7  1UD,DE7, 1UD
E06000015,42.78,57.22,DE73 1LB,DE73,1LB
E06000015,42.78,57.22,DE72 3YN,DE72,3YN
E06000015,42.78,57.22,DE74 2BW,DE74,2BW
E06000015,42.78,57.22,DE99 3AA,DE99,3AA
E06000016,51.08,48.92,LE1  6YN,LE1, 6YN
E06000016,51.08,48.92,LE2  0AA,LE2, 0AA
E06000016,51.08,48.92,LE3  5LU,LE3, 5LU
E06000016,51.08,48.92,LE4  0AE,LE4, 0AE
E06000016,51.08,48.92,LE5  1FH,LE5, 1FH
E06000016,51.08,48.92,LE55 7BB,LE55,7BB
E06000016,51.08,48.92,LE41 9AJ,LE41,9AJ
E06000016,51.08,48.92,LE7  1WT,LE7, 1WT
E06000016,51.08,48.92,LE87 4DQ,LE87,4DQ
E06000016,51.08,48.92,LE21 3AJ,LE21,3AJ
E06000017,49.43,50.57,LE15 8NP,LE15,8NP
E06000017,49.43,50.57,LE16 8RX,LE16,8RX
E06000017,49.43,50.57,PE9  2NN,PE9, 2NN
E06000018,49.16,50.84,NG1  1FN,NG1, 1FN
E06000018,49.16,50.84,NG11 8FD,NG11,8FD
E06000018,49.16,50.84,NG12 1WB,NG12,1WB
E06000018,49.16,50.84,NG13 0LB,NG13,0LB
E06000018,49.16,50.84,NG2  1QJ,NG2, 1QJ
E06000018,49.16,50.84,NG3  1HB,NG3, 1HB
E06000018,49.16,50.84,NG5  7HX,NG5, 7HX
E06000018,49.16,50.84,NG6  0EN,NG6, 0EN
E06000018,49.16,50.84,NG4  1HE,NG4, 1HE
E06000018,49.16,50.84,NG7  1AA,NG7, 1AA
E06000018,49.16,50.84,NG8  9AA,NG8, 9AA
E06000018,49.16,50.84,NG80 1EH,NG80,1EH
E06000018,49.16,50.84,NG9  2FZ,NG9, 2FZ
E06000018,49.16,50.84,NG90 1LZ,NG90,1LZ
E06000019,40.78,59.22,GL17 9BH,GL17,9BH
E06000019,40.78,59.22,GL18 1JP,GL18,1JP
E06000019,40.78,59.22,HR6  0AB,HR6, 0AB
E06000019,40.78,59.22,HR4  9ZA,HR4, 9ZA
E06000019,40.78,59.22,HR5  3FF,HR5, 3FF
E06000019,40.78,59.22,HR1  1DE,HR1, 1DE
E06000019,40.78,59.22,HR2  8RS,HR2, 8RS
E06000019,40.78,59.22,HR3  5BB,HR3, 5BB
E06000019,40.78,59.22,HR9  5DA,HR9, 5DA
E06000019,40.78,59.22,HR8  2JL,HR8, 2JL
E06000019,40.78,59.22,HR7  4JQ,HR7, 4JQ
E06000019,40.78,59.22,LD8  2LP,LD8, 2LP
E06000019,40.78,59.22,NP25 3SR,NP25,3SR
E06000019,40.78,59.22,NP5  3QJ,NP5, 3QJ
E06000019,40.78,59.22,NP7  8HH,NP7, 8HH
E06000019,40.78,59.22,SY7  0BF,SY7, 0BF
E06000019,40.78,59.22,SY8  4JG,SY8, 4JG
E06000019,40.78,59.22,WR13 5NZ,WR13,5NZ
E06000019,40.78,59.22,WR14 2PY,WR14,2PY
E06000019,40.78,59.22,WR6  6DT,WR6, 6DT
E06000019,40.78,59.22,WR15 8RT,WR15,8RT
E06000020,36.78,63.22,SY4  4JN,SY4, 4JN
E06000020,36.78,63.22,TF1  1UU,TF1, 1UU
E06000020,36.78,63.22,TF10 0AU,TF10,0AU
E06000020,36.78,63.22,TF11 9PL,TF11,9PL
E06000020,36.78,63.22,TF7  4UG,TF7, 4UG
E06000020,36.78,63.22,TF8  7PE,TF8, 7PE
E06000020,36.78,63.22,TF12 5WA,TF12,5WA
E06000020,36.78,63.22,TF2  2GX,TF2, 2GX
E06000020,36.78,63.22,TF13 6WH,TF13,6WH
E06000020,36.78,63.22,TF3  1BX,TF3, 1BX
E06000020,36.78,63.22,TF4  2RE,TF4, 2RE
E06000020,36.78,63.22,TF5  0YB,TF5, 0YB
E06000020,36.78,63.22,TF6  5AA,TF6, 5AA
E06000020,36.78,63.22,TF9  2DW,TF9, 2DW
E06000020,36.78,63.22,WV99 1AA,WV99,1AA
E06000021,30.64,69.36,ST1  3LP,ST1, 3LP
E06000021,30.64,69.36,ST11 9LJ,ST11,9LJ
E06000021,30.64,69.36,ST12 9BF,ST12,9BF
E06000021,30.64,69.36,ST2  0SA,ST2, 0SA
E06000021,30.64,69.36,ST4  1DW,ST4, 1DW
E06000021,30.64,69.36,ST3  7YU,ST3, 7YU
E06000021,30.64,69.36,ST6  5HE,ST6, 5HE
E06000021,30.64,69.36,ST5  6EW,ST5, 6EW
E06000021,30.64,69.36,ST7  4GA,ST7, 4GA
E06000021,30.64,69.36,ST8  7RA,ST8, 7RA
E06000021,30.64,69.36,ST9  9ND,ST9, 9ND
E06000022,57.85,42.15,BA1  0ES,BA1, 0ES
E06000022,57.85,42.15,BA11 5NY,BA11,5NY
E06000022,57.85,42.15,BA15 1WS,BA15,1WS
E06000022,57.85,42.15,BA2  0BR,BA2, 0BR
E06000022,57.85,42.15,BA3  9AA,BA3, 9AA
E06000022,57.85,42.15,BS14 0BP,BS14,0BP
E06000022,57.85,42.15,BS18 5BJ,BS18,5BJ
E06000022,57.85,42.15,BS40 5TS,BS40,5TS
E06000022,57.85,42.15,BS41 8NR,BS41,8NR
E06000022,57.85,42.15,BS39 4EF,BS39,4EF
E06000022,57.85,42.15,BS31 1AA,BS31,1AA
E06000023,61.73,38.27,BS1  1QQ,BS1, 1QQ
E06000023,61.73,38.27,BS10 7FD,BS10,7FD
E06000023,61.73,38.27,BS11 0AS,BS11,0AS
E06000023,61.73,38.27,BS13 0AR,BS13,0AR
E06000023,61.73,38.27,BS15 2EB,BS15,2EB
E06000023,61.73,38.27,BS16 4BZ,BS16,4BZ
E06000023,61.73,38.27,BS2  0AF,BS2, 0AF
E06000023,61.73,38.27,BS3  1RP,BS3, 1RP
E06000023,61.73,38.27,BS34 7DU,BS34,7DU
E06000023,61.73,38.27,BS4  9AD,BS4, 9AD
E06000023,61.73,38.27,BS5  0EW,BS5, 0EW
E06000023,61.73,38.27,BS9  3UF,BS9, 3UF
E06000023,61.73,38.27,BS99 1BZ,BS99,1BZ
E06000023,61.73,38.27,BS98 1AA,BS98,1AA
E06000023,61.73,38.27,BS6  7SY,BS6, 7SY
E06000023,61.73,38.27,BS7  0BE,BS7, 0BE
E06000023,61.73,38.27,BS77 1AA,BS77,1AA
E06000023,61.73,38.27,BS8  1DB,BS8, 1DB
E06000024,47.83,52.17,BS0  1ZZ,BS0, 1ZZ
E06000024,47.83,52.17,BS19 4LW,BS19,4LW
E06000024,47.83,52.17,BS20 8LG,BS20,8LG
E06000024,47.83,52.17,BS21 5ED,BS21,5ED
E06000024,47.83,52.17,BS22 6FU,BS22,6FU
E06000024,47.83,52.17,BS23 1AL,BS23,1AL
E06000024,47.83,52.17,BS24 7GT,BS24,7GT
E06000024,47.83,52.17,BS25 1AA,BS25,1AA
E06000024,47.83,52.17,BS49 4JB,BS49,4JB
E06000024,47.83,52.17,BS48 4BY,BS48,4BY
E06000024,47.83,52.17,BS80 8AA,BS80,8AA
E06000024,47.83,52.17,BS26 2XA,BS26,2XA
E06000024,47.83,52.17,BS29 6DU,BS29,6DU
E06000024,47.83,52.17,BS28 4ZQ,BS28,4ZQ
E06000025,47.32,52.68,BS12 0AG,BS12,0AG
E06000025,47.32,52.68,BS17 1LB,BS17,1LB
E06000025,47.32,52.68,BS30 5AA,BS30,5AA
E06000025,47.32,52.68,BS32 4QE,BS32,4QE
E06000025,47.32,52.68,BS36 2UF,BS36,2UF
E06000025,47.32,52.68,BS37 4LT,BS37,4LT
E06000025,47.32,52.68,BS35 3QR,BS35,3QR
E06000025,47.32,52.68,GL12 8AY,GL12,8AY
E06000025,47.32,52.68,GL13 9DR,GL13,9DR
E06000025,47.32,52.68,GL9  1JH,GL9, 1JH
E06000025,47.32,52.68,SN14 8AA,SN14,8AA
E06000026,40.06,59.94,PL1  5DL,PL1, 5DL
E06000026,40.06,59.94,PL2  1BY,PL2, 1BY
E06000026,40.06,59.94,PL4  7QE,PL4, 7QE
E06000026,40.06,59.94,PL5  1FJ,PL5, 1FJ
E06000026,40.06,59.94,PL3  4SD,PL3, 4SD
E06000026,40.06,59.94,PL7  2AU,PL7, 2AU
E06000026,40.06,59.94,PL6  8WA,PL6, 8WA
E06000026,40.06,59.94,PL9  7NQ,PL9, 7NQ
E06000026,40.06,59.94,PL95 8AA,PL95,8AA
E06000026,40.06,59.94,PL8  1BB,PL8, 1BB
E06000027,36.84,63.16,TQ1  1DH,TQ1, 1DH
E06000027,36.84,63.16,TQ12 4SU,TQ12,4SU
E06000027,36.84,63.16,TQ2  5AA,TQ2, 5AA
E06000027,36.84,63.16,TQ3  1PS,TQ3, 1PS
E06000027,36.84,63.16,TQ4  5LB,TQ4, 5LB
E06000027,36.84,63.16,TQ5  0HQ,TQ5, 0HQ
E06000028,45.12,54.88,BH1  4RJ,BH1, 4RJ
E06000028,45.12,54.88,BH10 4AA,BH10,4AA
E06000028,45.12,54.88,BH11 0BH,BH11,0BH
E06000028,45.12,54.88,BH13 6BJ,BH13,6BJ
E06000028,45.12,54.88,BH2  5AA,BH2, 5AA
E06000028,45.12,54.88,BH3  7EQ,BH3, 7EQ
E06000028,45.12,54.88,BH4  8HZ,BH4, 8HZ
E06000028,45.12,54.88,BH5  1BH,BH5, 1BH
E06000028,45.12,54.88,BH9  3DS,BH9, 3DS
E06000028,45.12,54.88,BH7  6JS,BH7, 6JS
E06000028,45.12,54.88,BH6  5YJ,BH6, 5YJ
E06000028,45.12,54.88,BH8  0BS,BH8, 0BS
E06000029,41.83,58.17,BH12 9DX,BH12,9DX
E06000029,41.83,58.17,BH14 0AA,BH14,0AA
E06000029,41.83,58.17,BH16 5SH,BH16,5SH
E06000029,41.83,58.17,BH17 0GB,BH17,0GB
E06000029,41.83,58.17,BH18 8AT,BH18,8AT
E06000029,41.83,58.17,BH15 2XS,BH15,2XS
E06000029,41.83,58.17,BH21 3DA,BH21,3DA
E06000030,45.34,54.66,SN1  4DP,SN1, 4DP
E06000030,45.34,54.66,SN17 2QN,SN17,2QN
E06000030,45.34,54.66,SN2  1TD,SN2, 1TD
E06000030,45.34,54.66,SN25 1QH,SN25,1QH
E06000030,45.34,54.66,SN38 1WL,SN38,1WL
E06000030,45.34,54.66,SN4  0EU,SN4, 0EU
E06000030,45.34,54.66,SN5  1BX,SN5, 1BX
E06000030,45.34,54.66,SN8  2JY,SN8, 2JY
E06000030,45.34,54.66,SN6  7HT,SN6, 7HT
E06000030,45.34,54.66,SN3  3DZ,SN3, 3DZ
E06000030,45.34,54.66,SN26 7EL,SN26,7EL
E06000030,45.34,54.66,SN99 8AA,SN99,8AA
E06000031,39.11,60.89,CB1  0AR,CB1, 0AR
E06000031,39.11,60.89,CB2  3HQ,CB2, 3HQ
E06000031,39.11,60.89,CB23 7WD,CB23,7WD
E06000031,39.11,60.89,PE1  9QF,PE1, 9QF
E06000031,39.11,60.89,PE13 4AY,PE13,4AY
E06000031,39.11,60.89,PE17 5SA,PE17,5SA
E06000031,39.11,60.89,PE2  0QG,PE2, 0QG
E06000031,39.11,60.89,PE3  6AH,PE3, 6AH
E06000031,39.11,60.89,PE6  9BD,PE6, 9BD
E06000031,39.11,60.89,PE7  0LA,PE7, 0LA
E06000031,39.11,60.89,PE8  6EF,PE8, 6EF
E06000031,39.11,60.89,PE4  5BR,PE4, 5BR
E06000031,39.11,60.89,PE5  7BN,PE5, 7BN
E06000031,39.11,60.89,PE99 1AA,PE99,1AA
E06000032,43.45,56.55,HP23 4QF,HP23,4QF
E06000032,43.45,56.55,LU1  2DE,LU1, 2DE
E06000032,43.45,56.55,LU2  7YJ,LU2, 7YJ
E06000032,43.45,56.55,LU3  1BY,LU3, 1BY
E06000032,43.45,56.55,LU4  0SS,LU4, 0SS
E06000032,43.45,56.55,LU7  3SH,LU7, 3SH
E06000033,41.92,58.08,SS0  0AA,SS0, 0AA
E06000033,41.92,58.08,SS1  1DH,SS1, 1DH
E06000033,41.92,58.08,SS4  3QY,SS4, 3QY
E06000033,41.92,58.08,SS2  4AA,SS2, 4AA
E06000033,41.92,58.08,SS3  8YE,SS3, 8YE
E06000033,41.92,58.08,SS22 8DE,SS22,8DE
E06000033,41.92,58.08,SS9  1AT,SS9, 1AT
E06000033,41.92,58.08,SS99 6AE,SS99,6AE
E06000034,27.72,72.28,CM13 3LX,CM13,3LX
E06000034,27.72,72.28,RM14 2XB,RM14,2XB
E06000034,27.72,72.28,RM15 4DF,RM15,4DF
E06000034,27.72,72.28,RM16 1EB,RM16,1EB
E06000034,27.72,72.28,RM19 1SA,RM19,1SA
E06000034,27.72,72.28,RM20 3FN,RM20,3FN
E06000034,27.72,72.28,RM17 5AT,RM17,5AT
E06000034,27.72,72.28,RM18 7BN,RM18,7BN
E06000034,27.72,72.28,SS12 0RJ,SS12,0RJ
E06000034,27.72,72.28,SS16 5LA,SS16,5LA
E06000034,27.72,72.28,SS17 0HE,SS17,0HE
E06000035,35.92,64.08,ME1  3HX,ME1, 3HX
E06000035,35.92,64.08,ME3  0BZ,ME3, 0BZ
E06000035,35.92,64.08,ME4  4PW,ME4, 4PW
E06000035,35.92,64.08,ME5  0DE,ME5, 0DE
E06000035,35.92,64.08,ME2  1DD,ME2, 1DD
E06000035,35.92,64.08,ME8  9RP,ME8, 9RP
E06000035,35.92,64.08,ME9  7UY,ME9, 7UY
E06000035,35.92,64.08,ME7  4DG,ME7, 4DG
E06000035,35.92,64.08,ME99 1AA,ME99,1AA
E06000036,46.06,53.94,GU17 8JG,GU17,8JG
E06000036,46.06,53.94,GU15 4PX,GU15,4PX
E06000036,46.06,53.94,GU19 5PN,GU19,5PN
E06000036,46.06,53.94,GU47 8YQ,GU47,8YQ
E06000036,46.06,53.94,GU46 6FP,GU46,6FP
E06000036,46.06,53.94,RG11 3EQ,RG11,3EQ
E06000036,46.06,53.94,RG12 7ZN,RG12,7ZN
E06000036,46.06,53.94,RG10 0QF,RG10,0QF
E06000036,46.06,53.94,RG40 3DE,RG40,3DE
E06000036,46.06,53.94,RG45 7FE,RG45,7FE
E06000036,46.06,53.94,RG42 1PG,RG42,1PG
E06000036,46.06,53.94,SL4  2HA,SL4, 2HA
E06000036,46.06,53.94,SL5  8QH,SL5, 8QH
E06000037,51.78,48.22,OX12 8NH,OX12,8NH
E06000037,51.78,48.22,RG13 1AA,RG13,1AA
E06000037,51.78,48.22,RG1  9WX,RG1, 9WX
E06000037,51.78,48.22,RG14 6YN,RG14,6YN
E06000037,51.78,48.22,RG15 0HA,RG15,0HA
E06000037,51.78,48.22,RG20 9HQ,RG20,9HQ
E06000037,51.78,48.22,RG3  2HP,RG3, 2HP
E06000037,51.78,48.22,RG26 6QY,RG26,6QY
E06000037,51.78,48.22,RG30 3DG,RG30,3DG
E06000037,51.78,48.22,RG17 7HP,RG17,7HP
E06000037,51.78,48.22,RG18 3AW,RG18,3AW
E06000037,51.78,48.22,RG31 4AA,RG31,4AA
E06000037,51.78,48.22,RG16 0JU,RG16,0JU
E06000037,51.78,48.22,RG7  5LG,RG7, 5LG
E06000037,51.78,48.22,RG8  6BW,RG8, 6BW
E06000037,51.78,48.22,RG19 3RL,RG19,3RL
E06000038,58.03,41.97,RG2  0BU,RG2, 0BU
E06000038,58.03,41.97,RG27 7NE,RG27,7NE
E06000038,58.03,41.97,RG4  7JX,RG4, 7JX
E06000038,58.03,41.97,RG5  3SD,RG5, 3SD
E06000038,58.03,41.97,RG6  1AB,RG6, 1AB
E06000039,45.67,54.33,SL0  9UZ,SL0, 9UZ
E06000039,45.67,54.33,SL1  0DH,SL1, 0DH
E06000039,45.67,54.33,SL2  1AQ,SL2, 1AQ
E06000039,45.67,54.33,SL3  0HA,SL3, 0HA
E06000039,45.67,54.33,SL6  0XW,SL6, 0XW
E06000039,45.67,54.33,SL95 1DX,SL95,1DX
E06000040,53.90,46.10,RG9  3EB,RG9, 3EB
E06000040,53.90,46.10,SL60 1FP,SL60,1FP
E06000040,53.90,46.10,SL7  1RE,SL7, 1RE
E06000040,53.90,46.10,SL8  5RG,SL8, 5RG
E06000040,53.90,46.10,TW18 4TS,TW18,4TS
E06000040,53.90,46.10,TW19 6HA,TW19,6HA
E06000041,56.69,43.31,RG41 1AA,RG41,1AA
E06000042,48.59,51.41,MK1  1AB,MK1, 1AB
E06000042,48.59,51.41,MK10 0AT,MK10,0AT
E06000042,48.59,51.41,MK16 9BH,MK16,9BH
E06000042,48.59,51.41,MK17 0JL,MK17,0JL
E06000042,48.59,51.41,MK19 7AF,MK19,7AF
E06000042,48.59,51.41,MK2  2DB,MK2, 2DB
E06000042,48.59,51.41,MK3  5GJ,MK3, 5GJ
E06000042,48.59,51.41,MK11 1DB,MK11,1DB
E06000042,48.59,51.41,MK12 5AB,MK12,5AB
E06000042,48.59,51.41,MK15 0EA,MK15,0EA
E06000042,48.59,51.41,MK14 7PA,MK14,7PA
E06000042,48.59,51.41,MK13 8LP,MK13,8LP
E06000042,48.59,51.41,MK4  3DH,MK4, 3DH
E06000042,48.59,51.41,MK46 4DX,MK46,4DX
E06000042,48.59,51.41,MK5  6BQ,MK5, 6BQ
E06000042,48.59,51.41,MK43 5LY,MK43,5LY
E06000042,48.59,51.41,MK9  2JB,MK9, 2JB
E06000042,48.59,51.41,MK98 1AA,MK98,1AA
E06000042,48.59,51.41,MK6  1AA,MK6, 1AA
E06000042,48.59,51.41,MK8  8AP,MK8, 8AP
E06000042,48.59,51.41,MK77 1DL,MK77,1DL
E06000042,48.59,51.41,MK7  7DQ,MK7, 7DQ
E06000042,48.59,51.41,NN7  2JP,NN7, 2JP
E06000042,48.59,51.41,NN9  7NP,NN9, 7NP
E06000042,48.59,51.41,NN8  7NP,NN8, 7NP
E06000043,68.62,31.38,BN1  1GQ,BN1, 1GQ
E06000043,68.62,31.38,BN2  1DN,BN2, 1DN
E06000043,68.62,31.38,BN3  1BN,BN3, 1BN
E06000043,68.62,31.38,BN4  1GA,BN4, 1GA
E06000043,68.62,31.38,BN41 2ZJ,BN41,2ZJ
E06000043,68.62,31.38,BN42 4QY,BN42,4QY
E06000043,68.62,31.38,BN50 8JZ,BN50,8JZ
E06000043,68.62,31.38,BN51 9AA,BN51,9AA
E06000043,68.62,31.38,BN52 9AY,BN52,9AY
E06000043,68.62,31.38,BN45 7BD,BN45,7BD
E06000043,68.62,31.38,BN6  8XW,BN6, 8XW
E06000043,68.62,31.38,BN88 1AH,BN88,1AH
E06000044,41.92,58.08,PO1  1TJ,PO1, 1TJ
E06000044,41.92,58.08,PO2  8YL,PO2, 8YL
E06000044,41.92,58.08,PO17 6AR,PO17,6AR
E06000044,41.92,58.08,PO3  5DJ,PO3, 5DJ
E06000044,41.92,58.08,PO4  9YY,PO4, 9YY
E06000044,41.92,58.08,PO5  1JS,PO5, 1JS
E06000044,41.92,58.08,PO6  2HX,PO6, 2HX
E06000044,41.92,58.08,PO7  5AU,PO7, 5AU
E06000045,46.20,53.80,SO1  0AA,SO1, 0AA
E06000045,46.20,53.80,SO16 3GH,SO16,3GH
